recipient_city_name,recipient_state_code,latitude,longitude
LOWELL,MA,42.6414437,-71.3085329
BOSTON,MA,42.3588336,-71.0578303
CHILMARK,MA,41.343056,-70.7440232
SOMERSET,MA,41.7695463,-71.128656
SALEM,MA,42.5195292,-70.8967226
NORTH DARTMOUTH,MA,41.6389926,-70.9703171
CHARLESTOWN,MA,42.3778749,-71.0619957
NEW BEDFORD,MA,41.6362152,-70.934205
FALL RIVER,MA,41.7010642,-71.1546367
LAWRENCE,MA,42.7070354,-71.1631137
HAVERHILL,MA,42.7777829,-71.0767724
ROXBURY,MA,42.3289067,-71.0850853
SPRINGFIELD,MA,42.1018764,-72.5886727
GLOUCESTER,MA,42.6153595,-70.6624608
OAK BLUFFS,MA,41.4536222,-70.5684337
EAST WEYMOUTH,MA,42.2193438,-70.9223328
HYANNIS,MA,41.6535345,-70.2823287
SOMERVILLE,MA,42.3875968,-71.0994968
FRAMINGHAM,MA,42.2773177,-71.4165905
BROCKTON,MA,42.0834335,-71.0183787
PLYMOUTH,MA,41.9426657,-70.7618592
JAMAICA PLAIN,MA,42.3116046,-71.1143838
MALDEN,MA,42.4268484,-71.0683741
PITTSFIELD,MA,42.4484778,-73.2541069
LEEDS,MA,42.3543687,-72.7010568
QUINCY,MA,42.2509914,-71.0037374
MASHPEE,MA,41.6484421,-70.4811383
CONCORD,MA,42.4605189,-71.3488963
WORCESTER,MA,42.2625621,-71.8018877
WOODS HOLE,MA,41.5238752,-70.6694015
SOUTH DENNIS,MA,41.6895552,-70.1564077
SOUTH HADLEY,MA,42.2591392,-72.5751341
FITCHBURG,MA,42.5838984,-71.8038268
ROXBURY CROSSING,MA,42.3312546,-71.0955776
CHELSEA,MA,42.3912241,-71.0369301
PEABODY,MA,42.5278731,-70.9286609
MILFORD,MA,42.1428913,-71.5164618
CAMBRIDGE,MA,42.3656347,-71.1040018
MARLBOROUGH,MA,42.3468589,-71.5525188
NORTHAMPTON,MA,42.3178989,-72.6311006
CHESTNUT HILL,MA,42.3234735,-71.1639159
AMHERST,MA,42.3731948,-72.5198761
WESTFORD,MA,42.5792583,-71.4378411
WELLESLEY HILLS,MA,42.3105491,-71.277031
SHELBURNE FALLS,MA,42.6035589,-72.7394623
WALTHAM,MA,42.3762385,-71.2355644
DORCHESTER,MA,42.2973205,-71.0744952
BRIGHTON,MA,42.3473519,-71.1551119
WESTFIELD,MA,42.1205411,-72.7489158
LYNN,MA,42.466763,-70.9494939
SOUTH GRAFTON,MA,39.3370361,-80.020355
EVERETT,MA,42.4085897,-71.0542002
WOBURN,MA,42.4792618,-71.1522766
HOLLAND,MA,42.065824,-72.160773
ARLINGTON,MA,42.4153739,-71.1564428
BRIMFIELD,MA,42.1224026,-72.2003109
CHICOPEE,MA,42.1487691,-72.6071119
