awardid,action_date,federal_action_obligation,deobligated_amount_usd,label,action_type_code,action_type_description,correction_delete_indicator_code,correction_delete_indicator_description,recipient_name,recipient_city_name,recipient_state_code,primary_place_of_performance_city_name,trump_era_flag
ASST_AGG_116730_418,2021-03-25,-6881.0,6881.0,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,MULTIPLE RECIPIENTS,,MA,,0
ASST_AGG_119246_418,2022-10-19,-6000.0,6000.0,CANCELLATION,B,CONTINUATION,,,MULTIPLE RECIPIENTS,,MA,,0
ASST_NON_00A00407_068,2021-06-22,-587151.0,587151.0,RESCISSION,B,CONTINUATION,,,NEW ENGLAND INTERSTATE WATER POLLUTION CONTROL COMMISSION,LOWELL,MA,,0
ASST_NON_00A00619_068,2023-08-14,-22500.0,22500.0,PARTIAL_RES_CUM_POS,B,CONTINUATION,,,MASSACHUSETTS DEPARTMENT OF ENVIRONMENTAL PROTECTION,BOSTON,MA,,0
ASST_NON_00A01087_068,2025-09-25,-105240.0,105240.0,PARTIAL_RES_CUM_POS,B,CONTINUATION,,,WAMPANOAG TRIBE OF GAY HEAD AQUINNAH,CHILMARK,MA,WAMPANOAG-AQUINNAH TRUST LAND,1
ASST_NON_016914780_013,2021-04-28,-121088.9,121088.9,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,TOWN OF SOMERSET,SOMERSET,MA,SOMERSET,0
ASST_NON_016915073_013,2023-07-24,-1045.38,1045.38,ADMIN_OR_PREPAY_ADJ,D,ADJUSTMENT TO COMPLETED PROJECT,,,"SALEM, CITY OF",SALEM,MA,SALEM,0
ASST_NON_017914813_013,2021-12-23,-365526.0,365526.0,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,NORTH DARTMOUTH,MA,NORTH DARTMOUTH,0
ASST_NON_017914935_013,2022-05-20,-14102.12,14102.12,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,INNOVATION STUDIO INC,CHARLESTOWN,MA,CHARLESTOWN,0
ASST_NON_017914999_013,2022-08-09,-486200.0,486200.0,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,"NEW BEDFORD ECONOMIC DEVELOPMENT COUNCIL, INC.",NEW BEDFORD,MA,NEW BEDFORD,0
ASST_NON_017915003_013,2022-01-03,-88727.42,88727.42,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,MASSACHUSETTS GROWTH CAPITAL CORP,CHARLESTOWN,MA,CHARLESTOWN,0
ASST_NON_017915003_013,2022-05-16,-1712522.78,1712522.78,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,MASSACHUSETTS GROWTH CAPITAL CORP,CHARLESTOWN,MA,CHARLESTOWN,0
ASST_NON_017915003_013,2022-07-13,-1036750.0,1036750.0,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,MASSACHUSETTS GROWTH CAPITAL CORP,CHARLESTOWN,MA,CHARLESTOWN,0
