month,recipient_city_name,recipient_state_code,trump_era_flag,deobligated_amount_usd
2020-10-01,ABINGTON,MA,0,26313.57
2020-10-01,AMHERST,MA,0,151881.91
2020-10-01,ANDOVER,MA,0,32802.53
2020-10-01,AUBURNDALE,MA,0,1217.66
2020-10-01,BELMONT,MA,0,65804.0
2020-10-01,BEVERLY,MA,0,61600.0
2020-10-01,BOSTON,MA,0,25494139.99
2020-10-01,BROOKLINE,MA,0,9087.9
2020-10-01,CAMBRIDGE,MA,0,759919.37
2020-10-01,CHELSEA,MA,0,67509.79
2020-10-01,CHESTNUT HILL,MA,0,19893.14
2020-10-01,CHICOPEE,MA,0,201.72
2020-10-01,DEDHAM,MA,0,13293.44
2020-10-01,DORCHESTER,MA,0,111293.58
2020-10-01,EAST BRIDGEWATER,MA,0,4195.42
2020-10-01,EAST WEYMOUTH,MA,0,0.35
2020-10-01,FITCHBURG,MA,0,355986.06999999995
2020-10-01,FRAMINGHAM,MA,0,173017.65
2020-10-01,GREENFIELD,MA,0,10963.03
2020-10-01,HANSCOM AFB,MA,0,75400.0
2020-10-01,HAVERHILL,MA,0,2.0
2020-10-01,HYANNIS,MA,0,8662.2
2020-10-01,LAWRENCE,MA,0,105838.01
2020-10-01,LOWELL,MA,0,10327.61
2020-10-01,LYNN,MA,0,390685.42
2020-10-01,MALDEN,MA,0,109357.29
2020-10-01,MARLBOROUGH,MA,0,41966.0
2020-10-01,MEDFORD,MA,0,51317.59
2020-10-01,MIDDLETON,MA,0,3677.18
2020-10-01,NATICK,MA,0,327493.49
2020-10-01,NEEDHAM HEIGHTS,MA,0,224499.68000000002
2020-10-01,PEABODY,MA,0,6.0
2020-10-01,PITTSFIELD,MA,0,21287.989999999998
2020-10-01,PLYMOUTH,MA,0,630.01
2020-10-01,RANDOLPH,MA,0,2840.42
2020-10-01,REVERE,MA,0,97381.88
2020-10-01,ROXBURY,MA,0,15623.0
2020-10-01,ROXBURY CROSSING,MA,0,505992.0
2020-10-01,SALEM,MA,0,18302.59
2020-10-01,SOMERVILLE,MA,0,65003.47
2020-10-01,SOUTH BOSTON,MA,0,189.88
2020-10-01,SPRINGFIELD,MA,0,7.2
2020-10-01,WALTHAM,MA,0,180318.84
2020-10-01,WESTFIELD,MA,0,20630.49
2020-10-01,WESTWOOD,MA,0,739.0
2020-10-01,WORCESTER,MA,0,173932.52999999997
2020-11-01,AMHERST,MA,0,796190.26
2020-11-01,ANDOVER,MA,0,2012.99
2020-11-01,BEVERLY,MA,0,46200.0
2020-11-01,BOSTON,MA,0,141588238.55
2020-11-01,CAMBRIDGE,MA,0,680336.18
2020-11-01,CHELSEA,MA,0,12147.84
2020-11-01,CHESTNUT HILL,MA,0,611940.1699999999
2020-11-01,CONCORD,MA,0,326104.0
2020-11-01,DORCHESTER,MA,0,30000.0
2020-11-01,EAST BOSTON,MA,0,0.01
2020-11-01,EAST TAUNTON,MA,0,40030.18
2020-11-01,FALL RIVER,MA,0,98354.19
2020-11-01,FITCHBURG,MA,0,88990.82
2020-11-01,FRAMINGHAM,MA,0,42220.0
2020-11-01,GREENFIELD,MA,0,1967.8
2020-11-01,HADLEY,MA,0,6500000.0
2020-11-01,LEXINGTON,MA,0,23710.0
2020-11-01,LOWELL,MA,0,762.7099999999999
2020-11-01,MALDEN,MA,0,123883.34
2020-11-01,MASHPEE,MA,0,19933.0
2020-11-01,MEDFORD,MA,0,43.0
2020-11-01,NEW BEDFORD,MA,0,3393.0
2020-11-01,NORTH DARTMOUTH,MA,0,75393.0
2020-11-01,NORWOOD,MA,0,857.7
2020-11-01,SOMERVILLE,MA,0,25.15
2020-11-01,SOUTH BOSTON,MA,0,242101.32
2020-11-01,TAUNTON,MA,0,10645.0
2020-11-01,WALTHAM,MA,0,690552.62
2020-11-01,WELLESLEY HILLS,MA,0,3693.71
2020-11-01,WOODS HOLE,MA,0,16267.34
2020-11-01,WORCESTER,MA,0,1790601.67
2020-12-01,AMHERST,MA,0,304117.81
2020-12-01,BELMONT,MA,0,8109083.95
2020-12-01,BOSTON,MA,0,29370388.96
2020-12-01,BRAINTREE,MA,0,40.0
2020-12-01,CAMBRIDGE,MA,0,1376129.34
2020-12-01,CHARLESTOWN,MA,0,5114.38
2020-12-01,CONCORD,MA,0,531239.0
2020-12-01,DORCHESTER,MA,0,513077.8
2020-12-01,EAST BOSTON,MA,0,550096.03
2020-12-01,EAST WEYMOUTH,MA,0,13329.0
